measured,1.py,10.py,100.py,1000.py,10000.py,50000.py
python parser (ms),3.500046,5.086947,22.060286,174.307322,2663.085452,17934.498368
parser (ms),0.0,0.0,2.0,25.0,236.0,1458.0
